Grado Polinomio:,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,

Ev.Comun: ,323.1,1291.3,1844.2,3147.3,4558.2,6089.4,8386.9,10804.2,13802,16635.1,20571.7,24044.2,26899.1,31316.9,35990,41043.4,46982.8,54245,58707,64440.4,72361.3,79158.1,88489.5,93184.2,103711,110040,118545,126809,135613,147349,158967,166844,180144,187414,202041,211187,223002,235171,248724,259163,273167,285931,306168,317191,330571,344603,359263,376990,390641,410028,423780,440314,456874,476578,492285,511221,529052,547390,567189,588874,605476,625854,650089,667813,687639,710951,733761,752908,774531,797943,821142,844996,874116,892510,915955,941589,969576,999841,1.02115e+06,1.04703e+06,1.07053e+06,1.09656e+06,1.12374e+06,1.15213e+06,1.18095e+06,1.20946e+06,1.23348e+06,1.26232e+06,1.29322e+06,1.32127e+06,1.35139e+06,1.38278e+06,1.40924e+06,1.44167e+06,1.47461e+06,1.50204e+06,1.53417e+06,1.6045e+06,1.59964e+06,1.63381e+06,
Ev.Horner: ,91.2,201.8,227.4,256.3,309.4,315.6,386.6,464,477.8,492.5,578.2,572.9,603.2,663.8,691.8,764.4,775.7,895.3,890,908.6,990.3,1020.3,1111.6,1078.9,1182.9,1190,1241.4,1268.5,1357.2,1399.4,1437.9,1465.6,1542.3,1569.5,1600.4,1609.6,1678.5,1735,1742.1,1800.5,1853.6,1866,1992.8,2007.1,2064.7,2058.3,2102.2,2161.3,2174.6,2270.3,2333.5,2356.9,2379.1,2455.6,2485.8,2479.3,2576.5,2629.1,2631,2706.9,2811.2,2884.4,2833,2869.7,2892.1,2948.7,3018.3,3022.2,3116.9,3120.6,3174.5,3285.6,3236.8,3264.3,3358.2,3371.6,3476,3468.3,3556.3,3602.5,3622.9,3618.6,3715.3,3771.2,3853.6,3845.3,3861.1,3909.4,3969.6,3985.5,4014.7,4146.8,4115.1,4173,4223.1,4234.4,4437.3,4472,4365,4464.4,
